ID;Nome;CPF;Telefone;Valor_Divida;Dias_Atraso;Faixa_Atraso;Status;Valor_Pago;Operador;Data_Vencimento;Data_Pagamento
1;Priscila Araújo Neto;000.000.001-91;(81) 94657-3286;1017.27;24;0-30 dias;PAGO;1017.27;Beatriz K.;26/12/2025;29/11/2025
2;Osmar Pacheco;000.000.002-72;(85) 91106-3615;9576.68;23;0-30 dias;PENDENTE;0.0;Rafael T.;23/01/2025;
3;Célia Braga;000.000.003-53;(62) 92291-5803;1497.77;80;61-90 dias;PAGO;1497.77;Fernanda S.;14/07/2025;21/02/2025
4;Célia Braga;000.000.004-34;(98) 93664-7065;1462.03;82;61-90 dias;PENDENTE;0.0;Rafael T.;19/05/2025;
5;Percival Moura;000.000.005-15;(92) 91916-4752;412.52;32;31-60 dias;PENDENTE;0.0;Diego R.;26/11/2025;
6;Vanessa Teixeira;000.000.006-04;(81) 99830-5304;672.85;49;31-60 dias;PAGO;672.85;Rafael T.;23/03/2025;18/11/2025
7;Edna Guimarães;000.000.007-87;(62) 97252-8668;494.74;78;61-90 dias;PAGO;494.74;Ana Lima;21/08/2025;22/03/2025
8;Alexandre Melo;000.000.008-68;(61) 99317-2743;10746.33;51;31-60 dias;EM ATRASO;0.0;Fernanda S.;03/11/2025;
9;Graciele Sampaio Neto;000.000.009-49;(91) 94923-1949;1126.18;8;0-30 dias;PENDENTE;0.0;Carlos M.;09/10/2025;
10;Alexandre Melo;000.000.010-82;(67) 94470-9835;6030.12;83;61-90 dias;PAGO;6030.12;Ana Lima;23/06/2025;02/02/2025
11;Odete Cardoso;000.000.011-63;(81) 91117-2163;3982.57;23;0-30 dias;PENDENTE;0.0;Beatriz K.;06/01/2026;
12;Salvador Borba;000.000.012-44;(47) 97669-4119;7183.02;34;31-60 dias;PAGO;7183.02;Ana Lima;23/06/2025;08/01/2026
13;Wellington Moura;000.000.013-25;(65) 93296-7912;6848.13;122;90+ dias;PENDENTE;0.0;Ana Lima;08/01/2025;
14;Cristiane Azevedo;000.000.014-06;(47) 98886-4502;303.66;28;0-30 dias;QUEBRADO;119.1;Rafael T.;12/10/2025;
15;Graciele Sampaio;000.000.015-97;(91) 94566-1958;397.18;78;61-90 dias;EM ATRASO;0.0;Carlos M.;11/02/2025;
16;Camila Rodrigues;000.000.016-78;(81) 97615-2964;17922.43;68;61-90 dias;PAGO;17922.43;Carlos M.;10/06/2025;02/01/2026
17;Alexandre Melo;000.000.017-59;(91) 98491-6180;5377.96;30;0-30 dias;PAGO;5377.96;Carlos M.;05/02/2025;28/06/2025
18;Cleber Santana;000.000.018-30;(65) 99900-5956;1689.08;20;0-30 dias;PAGO;1689.08;Beatriz K.;16/01/2026;24/02/2025
19;Bruno Castro;000.000.019-10;(71) 96617-4335;8863.58;51;31-60 dias;PAGO;8863.58;Carlos M.;30/01/2026;20/06/2025
20;Alexandre Melo;000.000.020-54;(65) 98007-1158;1227.5;179;90+ dias;PAGO;1227.5;Fernanda S.;21/01/2025;06/04/2026
21;Aline Nunes;000.000.021-35;(41) 96794-7658;6864.63;121;90+ dias;PAGO;6864.63;Rafael T.;30/07/2025;22/04/2026
22;Wellington Moura;000.000.022-16;(41) 97267-1634;1082.52;116;90+ dias;PAGO;1082.52;Ana Lima;23/05/2025;18/06/2025
23;Rodrigo Machado;000.000.023-05;(48) 97548-9785;3592.8;11;0-30 dias;PAGO;3592.8;Ana Lima;19/09/2025;07/11/2025
24;Wanderley Queiroz;000.000.024-88;(71) 95173-1727;1215.37;157;90+ dias;PAGO;1215.37;Beatriz K.;19/06/2025;07/12/2025
25;Adriana Campos;000.000.025-69;(41) 95920-9308;2763.73;52;31-60 dias;EM ATRASO;0.0;Beatriz K.;12/11/2025;
26;Elaine Ramos;000.000.026-40;(11) 95978-5700;4650.72;86;61-90 dias;EM ATRASO;0.0;Carlos M.;12/01/2026;
27;Juliana Pereira;000.000.027-20;(92) 92530-4848;7903.62;22;0-30 dias;EM ATRASO;0.0;Carlos M.;22/10/2025;
28;Wanderley Queiroz;000.000.028-01;(81) 93417-1090;6824.66;88;61-90 dias;EM ATRASO;0.0;Diego R.;04/03/2025;
29;André Monteiro;000.000.029-92;(48) 96198-8251;4675.48;57;31-60 dias;NEGOCIANDO;2038.25;Beatriz K.;22/05/2025;
30;Graciele Sampaio;000.000.030-26;(85) 98206-2269;1818.15;40;31-60 dias;PAGO;1818.15;Fernanda S.;28/07/2025;01/08/2025
31;Murilo Bezerra;000.000.031-07;(21) 94388-7883;17786.74;165;90+ dias;PAGO;17786.74;Beatriz K.;03/08/2025;19/07/2025
32;Murilo Bezerra;000.000.032-98;(81) 98999-4595;20311.08;44;31-60 dias;EM ATRASO;0.0;Ana Lima;01/10/2025;
33;Edilene Carmo;000.000.033-79;(11) 92375-8022;944.48;5;0-30 dias;NEGOCIANDO;408.74;Ana Lima;10/05/2025;
34;Isaura Pires Jr.;000.000.034-50;(98) 94673-2124;2122.28;94;90+ dias;PENDENTE;0.0;Diego R.;22/04/2025;
35;Sandra Cunha;000.000.035-30;(61) 92876-3683;1278.85;94;90+ dias;PENDENTE;0.0;Carlos M.;18/11/2025;
36;Mateus Gomes;000.000.036-11;(91) 92983-1672;1160.13;48;31-60 dias;EM ATRASO;0.0;Diego R.;22/11/2025;
37;Bruno Castro;000.000.037-00;(48) 95425-9817;1307.21;146;90+ dias;PENDENTE;0.0;Diego R.;20/01/2026;
38;Quesia Dantas;000.000.038-83;(62) 96511-1470;12754.19;58;31-60 dias;PENDENTE;0.0;Carlos M.;22/09/2025;
39;Juliana Pereira;000.000.039-64;(67) 99004-4937;3765.41;46;31-60 dias;PENDENTE;0.0;Beatriz K.;11/10/2025;
40;Letícia Vilaça;000.000.040-06;(92) 96764-8434;627.39;9;0-30 dias;PAGO;627.39;Rafael T.;22/05/2025;05/09/2025
41;Jailson Cavalcante;000.000.041-89;(41) 94180-5853;3645.87;8;0-30 dias;PAGO;3645.87;Diego R.;21/01/2026;21/03/2026
42;Mateus Gomes;000.000.042-60;(91) 98690-8843;2684.52;41;31-60 dias;QUEBRADO;431.38;Fernanda S.;16/10/2025;
43;Juliana Pereira;000.000.043-40;(41) 97818-4697;805.5;148;90+ dias;EM ATRASO;0.0;Carlos M.;20/02/2025;
44;Renato Vieira;000.000.044-21;(31) 93573-4929;5562.87;6;0-30 dias;QUEBRADO;1566.57;Carlos M.;18/12/2025;
45;Alexandre Melo;000.000.045-02;(71) 97965-2880;2428.46;110;90+ dias;PENDENTE;0.0;Diego R.;28/05/2025;
46;Felipe Barros;000.000.046-93;(91) 97594-5460;367.76;17;0-30 dias;EM ATRASO;0.0;Beatriz K.;22/10/2025;
47;Fernanda Lima;000.000.047-74;(85) 91659-3870;608.53;147;90+ dias;PAGO;608.53;Rafael T.;14/06/2025;20/06/2025
48;Mateus Gomes;000.000.048-55;(92) 97744-9117;9970.67;10;0-30 dias;NEGOCIANDO;1001.66;Diego R.;05/10/2025;
49;Neusa Farias Neto;000.000.049-36;(47) 98242-1845;6189.5;107;90+ dias;PAGO;6189.5;Beatriz K.;09/06/2025;23/03/2025
50;Carlos Eduardo Santos;000.000.050-70;(31) 94681-2858;54215.34;34;31-60 dias;PAGO;54215.34;Diego R.;16/03/2025;10/10/2025
51;Simone Correia;000.000.051-50;(48) 93236-2143;8043.61;55;31-60 dias;PENDENTE;0.0;Diego R.;04/12/2025;
52;Bruno Castro;000.000.052-31;(47) 96654-6446;847.02;55;31-60 dias;NEGOCIANDO;99.49;Diego R.;17/01/2026;
53;Joelma Reis;000.000.053-12;(51) 99115-1606;4641.84;133;90+ dias;PENDENTE;0.0;Carlos M.;02/12/2025;
54;Lucas Martins;000.000.054-01;(85) 96546-7512;4280.06;133;90+ dias;EM ATRASO;0.0;Beatriz K.;19/01/2025;
55;Camila Rodrigues;000.000.055-84;(91) 94727-2480;470.86;85;61-90 dias;PAGO;470.86;Diego R.;11/07/2025;03/07/2025
56;Vanessa Teixeira;000.000.056-65;(67) 93950-3785;709.41;80;61-90 dias;PAGO;709.41;Fernanda S.;27/08/2025;05/01/2025
57;Murilo Bezerra;000.000.057-46;(65) 96661-5901;813.61;44;31-60 dias;PENDENTE;0.0;Rafael T.;01/06/2025;
58;Sérgio Figueiredo;000.000.058-27;(85) 91132-1803;1834.99;154;90+ dias;PAGO;1834.99;Rafael T.;14/12/2025;09/05/2025
59;André Monteiro;000.000.059-08;(21) 96061-8222;6484.89;2;0-30 dias;EM ATRASO;0.0;Beatriz K.;29/09/2025;
60;Débora Cavalcante;000.000.060-41;(85) 98894-5835;6524.91;58;31-60 dias;PENDENTE;0.0;Fernanda S.;13/10/2025;
61;Thiago Nascimento;000.000.061-22;(11) 95332-9791;4286.15;72;61-90 dias;PENDENTE;0.0;Beatriz K.;14/11/2025;
62;Gustavo Borges;000.000.062-03;(81) 92035-8606;537.62;53;31-60 dias;EM ATRASO;0.0;Diego R.;11/03/2025;
63;Célia Braga;000.000.063-94;(67) 93531-7797;1896.39;87;61-90 dias;PAGO;1896.39;Rafael T.;20/02/2025;05/07/2025
64;Cleber Santana;000.000.064-75;(98) 91992-7523;660.58;9;0-30 dias;EM ATRASO;0.0;Carlos M.;17/10/2025;
65;Camila Rodrigues;000.000.065-56;(71) 94538-4817;1759.29;11;0-30 dias;QUEBRADO;194.07;Fernanda S.;08/01/2025;
66;Cristiane Azevedo;000.000.066-37;(11) 93854-5347;1567.63;35;31-60 dias;PENDENTE;0.0;Ana Lima;11/11/2025;
67;Ivone Brito;000.000.067-18;(11) 91996-8847;1511.08;28;0-30 dias;PAGO;1511.08;Beatriz K.;21/11/2025;16/11/2025
68;Odete Cardoso;000.000.068-07;(62) 99692-5831;7116.76;15;0-30 dias;PAGO;7116.76;Diego R.;27/04/2025;20/08/2025
69;Marcelo Duarte;000.000.069-80;(62) 97815-2557;1921.11;44;31-60 dias;PENDENTE;0.0;Rafael T.;17/01/2026;
70;Cleber Santana;000.000.070-13;(21) 96400-3002;1018.99;176;90+ dias;PAGO;1018.99;Carlos M.;19/04/2025;17/09/2025
71;Ermando Leite;000.000.071-02;(41) 96736-7022;5365.79;4;0-30 dias;PENDENTE;0.0;Rafael T.;08/11/2025;
72;Débora Cavalcante Neto;000.000.072-85;(91) 96567-6751;2851.25;88;61-90 dias;PAGO;2851.25;Fernanda S.;21/08/2025;03/08/2025
73;Natália Mendes;000.000.073-66;(92) 92391-1861;438.69;5;0-30 dias;PAGO;438.69;Fernanda S.;28/02/2025;20/09/2025
74;Nilton Vasconcelos;000.000.074-47;(48) 96053-1744;812.41;8;0-30 dias;PAGO;812.41;Carlos M.;09/08/2025;18/01/2026
75;Gabriela Ribeiro;000.000.075-28;(81) 99196-6802;1081.58;43;31-60 dias;PENDENTE;0.0;Ana Lima;29/05/2025;
76;Gilson Fontes Neto;000.000.076-09;(61) 98538-6928;1301.08;3;0-30 dias;PAGO;1301.08;Beatriz K.;09/02/2025;28/03/2025
77;Priscila Araújo;000.000.077-90;(71) 96724-6752;3183.63;24;0-30 dias;PAGO;3183.63;Diego R.;18/11/2025;31/01/2026
78;Valdeci Nogueira;000.000.078-70;(65) 96295-6179;814.79;45;31-60 dias;PENDENTE;0.0;Fernanda S.;30/01/2025;
